ID;Name;Relation's Name;Relation's ID;Relationship
307;Pasquale Camera;Robert Hecht;131;implicated_with
323;Vasek Polak;Samuel Schweitzer;396;implicated_with
444;Giacomo Medici;Arts Franc;165;consigned_through
444;Giacomo Medici;Christian Boursaud;257;consigned_through
444;Giacomo Medici;Mat Securitas;399;consigned_through
444;Giacomo Medici;Sotheby's;129;consigned_through
444;Giacomo Medici;Tecafin Fiduciaire;125;consigned_through
444;Giacomo Medici;Geneva-based Editions Services;465;consigned_through
281;Israeli private collection;Christie's;115;consigned_through
65;Moche pieces;David Bernstein;97;consigned_through
410;Peter G Wray;Andre Emmerich's New York Gallery;85;consigned_through
108;sarcophagus;Editions Services;146;consigned_through
202;Euphronios ( Sarpedon ) krater;Euphronios;391;created_by
202;Euphronios ( Sarpedon ) krater;Euxitheos;387;created_by
305;Armand Labbé;Bowers Museum;224;curator_of
9;Cornelius C Vermeule III;Boston Museum of Fine Arts;249;curator_of
370;Julie Jones;Museum of Primitive Art;6;curator_of
84;Larisa Zavadskaya;Hermitage;389;curator_of
218;Marion True;J Paul Getty Museum;378;curator_of
70;Roxanna Brown;Bangkok University's Southeast Asian Ceramics Museum;256;curator_of
457;Sue McGovern;Sands of Time;37;curator_of
126;Michael Kelly;Art Collections Conservation Network;100;director_of
455;Berry & Stark Associates;El Zotz Wooden Lintel;390;gave
11;Michael Ward;SPGH;150;gave
219;Barbara Fleischman;Fleischman Collection;229;gave
471;Lawrence Fleischman;Fleischman Collection;229;gave
466;a vase;Mint Museum of Art;230;donated_to
466;a vase;Nasher Museum of Art;440;donated_to
49;Alfonso Medellín Zenil;Museum of Anthropology;147;donated_to
455;Berry & Stark Associates;Denver Art Museum;261;donated_to
320;Bonhams;Egyptian Embassy;352;donated_to
114;Charles Craig;Santa Barbara Museum of Art;451;donated_to
0;Galerie Nefer;J Paul Getty Museum;378;donated_to
341;Gordon McClendon;J Paul Getty Museum;378;donated_to
71;Jonathan and Cari Markell;Los Angeles County Museum of Art;206;donated_to
207;Leon Levy;Boston Museum of Fine Arts;249;donated_to
159;Michael Milken;J Paul Getty Museum;378;donated_to
462;Michael Rockefeller;Museum of Primitive Art;6;donated_to
96;Michael Webb;Elizabeth Shee Twohig;198;donated_to
145;Nelson Rockefeller;Museum of Primitive Art;6;donated_to
310;Shelby White;Museum of Fine Arts;424;donated_to
258;Silver Hoard of Everbeek;Provincial Archaeological Museum;272;donated_to
6;Museum of Primitive Art;Metropolitan Museum of Art;18;donated_to
390;El Zotz Wooden Lintel;Denver Art Museum;261;donated_to
113;Antalya Museum;Weary Herakles;358;exhibited
316;Barbier-Mueller Pre-Columbian Art Museum;mask made of fuschite depicting the sun god;274;exhibited
18;Metropolitan Museum of Art;Weary Herakles;358;exhibited
183;Germany;Anton Roeckl;156;home_of
432;Las Limas;Rosa Manuel Pascual;330;home_of
267;New York;David Bernstein;97;home_of
76;Peru;Raúl Apesteguía;175;home_of
271;Antike Kunst Palladion;Medici Polaroid;164;implicated_by
165;Arts Franc;Giacomo Medici;444;belonged_to
219;Barbara Fleischman;Medici Polaroid;164;implicated_by
306;Asia;Giacomo Medici;444;looted_by
397;Fritz Bürki;Medici Polaroid;164;implicated_by
464;Maurice Tempelsman;Medici Polaroid;164;implicated_by
137;Atlantis Antiquities;Giacomo Medici;444;implicated_by
245;Robin Symes;Medici Polaroid;164;implicated_by
445;Rycroft Collection;Medici Polaroid;164;implicated_by
396;Samuel Schweitzer;Medici Polaroid;164;implicated_by
186;Gianfranco Becchina;Medici Polaroid;164;implicated_by
307;Pasquale Camera;Medici Polaroid;164;implicated_by
395;Carabinieri;Marion True;218;investigated
326;Departamento de Monumentos Arqueológicos;Dos Cabezas;453;investigated
45;Immigration and Customs Enforcement;Phoenix Ancient Art;21;investigated
395;Carabinieri;Giuseppe Mascara;337;investigated
398;Luc Watrin;Bonhams;320;investigated
195;New York Times;Edward Merrin;452;investigated
12;Flanders Heritage Agency;Velzeke Provincial Archaeological Museum;185;investigated
18;Metropolitan Museum of Art;Dikran Sarrafian;349;investigated
414;Supreme Court;Michael Webb;96;investigated
200;United States Customs;Sotheby's;129;investigated
294;US Homeland Security;John Eskenazi;473;investigated
139;Captain Trang;Cu Lao Cham;259;stole
176;Everett Rassiga;Placeres;429;stole
444;Giacomo Medici;Euphronios ( Sarpedon ) krater;202;stole
264;Jorge Alamilla;Machaquilá Stela 2;30;stole
80;Julio Ullilén;Laguna de los Cóndores;106;stole
84;Larisa Zavadskaya;Hermitage;389;looted_from
388;Nikolay Zavadsky;Hermitage;389;looted_from
362;Occupants of the modern village of;Ban Chiang;321;stole
86;Pablo Soldi;Ica Valley;415;stole
319;Pereda;Sipán;203;stole
74;baby-face figure;Las Bocas;317;looted_from
139;Captain Trang;Hoi An;363;stole
273;Morgantina Venus;Morgantina;275;looted_from
390;El Zotz Wooden Lintel;El Zotz;469;looted_from
390;El Zotz Wooden Lintel;Temple 1;124;looted_from
136;Fifth-century BC Attic red-figured kylix, signed by Euphronios as potter and painted by Onesimos ;Cerveteri;461;looted_from
65;Moche pieces;Dos Cabezas;453;looted_from
22;Moche headdress;La Mina;34;looted_from
340;mosaic floor;Zeugma;127;looted_from
382;Olmec;Las Bocas;317;looted_from
231;red sandstone figure of a Jina;Vilasgarh temple;138;looted_from
35;red-on-buff decorated pottery;Ban Chiang;321;looted_from
204;sacred textiles;Coroma;8;looted_from
108;sarcophagus;San Saba;227;looted_from
268;sculptural material;Xultún;38;looted_from
225;sculptures;Hindu;155;looted_from
318;statuary;Zeugma;127;looted_from
246;Stela 3;Xultún;38;looted_from
123;Aidonia_Greece Treasure;Aidonia_Greece;328;looted_from
358;Weary Herakles;Perge;244;looted_from
208;torso of a second century AD statue of the god;Italian Giustiniani Collection;309;looted_from
409;Uma Maheshwar;Wotol;430;looted_from
73;Vicús;Loma Negra;162;looted_from
292;Michael Ward Gallery;Mycenaean objects;348;offered_for_sale
428;Alberto Luna;Mexico;66;operated_in
342;André Emmerich;New York;267;operated_in
161;Antonio ‘Nino' Savoca;Munich;368;operated_in
460;Bobbyo Imports;Bangkok;89;operated_in
460;Bobbyo Imports;Chiang Mai;296;operated_in
460;Bobbyo Imports;Los Angeles;331;operated_in
460;Bobbyo Imports;Singapore;148;operated_in
257;Christian Boursaud;Geneva;269;operated_in
447;Clive Hollinshead;Miami;216;operated_in
251;DR Bhandarkar;Atru;301;operated_in
452;Edward Merrin;New York;267;operated_in
193;Vaman Ghiya;India;283;operated_in
444;Giacomo Medici;Rome;324;operated_in
444;Giacomo Medici;Switzerland;299;operated_in
232;Glenn Rittenour;Milwaukee;178;operated_in
56;Harry Brown;Helena;43;operated_in
346;Leonardo Patterson;New York;267;operated_in
90;Olof Hansson;British Columbia;297;operated_in
90;Olof Hansson;Sweden;10;operated_in
190;Orazio di Simone;Sicily;72;operated_in
190;Orazio di Simone;Switzerland;299;operated_in
376;Renzo Canavesi;Switzerland;299;operated_in
131;Robert Hecht;Switzerland;299;operated_in
131;Robert Hecht;United States;184;operated_in
149;Robert Olson;Los Angeles;331;operated_in
149;Robert Olson;Thailand;384;operated_in
245;Robin Symes;London;470;operated_in
351;Roger Cornelius Russell Yorke;Truro;282;operated_in
167;Stanley Boggs;El Salvador;313;operated_in
59;Steve Bourget;Dos Cabezas;453;operated_in
343;Swiss Air;JFK Airport;168;operated_in
184;United States;Udon;228;operated_in
51;Athens;Euphronios ( Sarpedon ) krater;202;origin_for
34;La Mina;Moche pieces;65;origin_for
162;Loma Negra;Moche pieces;65;origin_for
416;Puebla;Olmec;382;origin_for
422;Sicyon;Lyssipos;252;origin_for
71;Jonathan and Cari Markell;Silk Roads Gallery;458;owned
257;Christian Boursaud;Hydra Gallery;334;owned
255;eBay;Butterfields;160;owned
452;Edward Merrin;El Zotz Wooden Lintel;390;owned
397;Fritz Bürki;Atlantis Antiquities;137;owned
193;Vaman Ghiya;Artistic Imports Corporation );431;owned
193;Vaman Ghiya;Cape Lion Logging;81;owned
193;Vaman Ghiya;Megavena;291;owned
444;Giacomo Medici;Antiquaria Romana;347;owned
444;Giacomo Medici;Arts Franc;165;owned
444;Giacomo Medici;Geneva;269;owned
444;Giacomo Medici;Hydra Gallery;334;owned
444;Giacomo Medici;Mat Securitas;399;owned
444;Giacomo Medici;Tecafin Fiduciaire;125;owned
444;Giacomo Medici;Geneva-based Editions Services;465;owned
186;Gianfranco Becchina;Antike Kunst Palladion;271;owned
26;Justin Kerr;Maya Vase Database;58;owned
356;Marquis of Tavistock;Toi moko;5;owned
11;Michael Ward;Michael Ward Gallery;292;owned
23;Ong Soo Hin;Saga Horizon;196;owned
151;Peter Wilson;Art Consultancy;41;owned
151;Peter Wilson;Rainer Zietz;46;owned
149;Robert Olson;Bobbyo Imports;460;owned
149;Robert Olson;warehouse;24;owned
360;Marquess of Northampton;Sevso Treasure;57;owned
452;Edward Merrin;Merrin Gallery;333;owned
279;Caballo Pintado;Las Bocas;317;part_of
469;El Zotz;San Miguel la Palotada National Park;417;part_of
394;Flanders;Belgium;169;part_of
124;Temple 1;El Zotz;469;part_of
439;Zona Arqueológica Cerro Dos Cabezas;Jequetepeque Valley;243;part_of
187;Anton Tkalec;Sevso Plate;52;possessed
190;Orazio di Simone;Morgantina Venus;273;possessed
474;PIASA;alabaster duck vessels;289;possessed
303;Barry Stern;Hillwood Museum;426;president_of
386;Mariane Yaldiz;Museum für Indische Kunst;104;president_of
126;Michael Kelly;Art Collections Conservation Network;100;president_of
238;Riddi Pradhan;Department of Archaeology;223;president_of
61;Thomas Hoving;Metropolitan Museum of Art;18;president_of
114;Charles Craig;United States Customs;200;raided_by
269;Geneva;Carabinieri;395;raided_by
171;Geneva storerooms;Carabinieri;395;raided_by
444;Giacomo Medici;Carabinieri;395;raided_by
131;Robert Hecht;Carabinieri;395;raided_by
351;Roger Cornelius Russell Yorke;Royal Canadian Mounted Police;110;raided_by
129;Sotheby's;United States Customs;200;raided_by
91;Steven Berger;United States Customs;200;raided_by
342;André Emmerich;Ed Dwyer;64;refused
232;Glenn Rittenour;Ed Dwyer;64;refused
346;Leonardo Patterson;Ed Dwyer;64;refused
201;Marjorie Neikrug;Ed Dwyer;64;refused
329;Brooklyn Museum;Ed Dwyer;64;refused
261;Denver Art Museum;Harry Brown;56;refused
118;Edward Johnson;Joseph Garner;88;related_to
56;Harry Brown;Johnnie Brown Fell;141;related_to
360;Marquess of Northampton;Abraham Trust;170;related_to
105;Jacqueline Swetnam;David Swetnam;154;relationship_with
84;Larisa Zavadskaya;Nikolay Zavadsky;388;relationship_with
310;Shelby White;Leon Levy;207;relationship_with
219;Barbara Fleischman;Lawrence Fleischman;471;relationship_with
471;Lawrence Fleischman;Barbara Fleischman;219;relationship_with
289;alabaster duck vessels;Egypt;174;repatriated_to
392;Ballcourt Marker;Guatemala;234;repatriated_to
273;Morgantina Venus;Italy;381;repatriated_to
377;Dynasty Tomb of Mutirdis;Egypt;174;repatriated_to
390;El Zotz Wooden Lintel;Museo Nacional de Arqueología e Etnología;215;repatriated_to
136;Fifth-century BC Attic red-figured kylix, signed by Euphronios as potter and painted by Onesimos ;Italy;381;repatriated_to
390;El Zotz Wooden Lintel;Guatemala;234;repatriated_to
265;Macahquilá Stela 2;Guatemala;234;repatriated_to
353;Machaquilá Stela 5;Guatemala;234;repatriated_to
340;mosaic floor;Gaziantep Museum;28;repatriated_to
166;second Euphronios krater;Italy;381;repatriated_to
129;Sotheby's;Chinese Embassy;75;repatriated_to
123;Aidonia_Greece Treasure;Greece;354;repatriated_to
249;Boston Museum of Fine Arts;Turkey;438;repatriated_to
202;Euphronios ( Sarpedon ) krater;Villa Giulia;32;repatriated_to
358;Weary Herakles;National Museum;407;repatriated_to
418;totem pole;Canada;98;repatriated_to
409;Uma Maheshwar;Nepal;15;repatriated_to
409;Uma Maheshwar;Patan Museum;327;repatriated_to
237;unprovenienced vessel;Morley Museum;472;repatriated_to
358;Weary Herakles;Antalya;437;repatriated_to
170;Abraham Trust;Marquess of Northampton;360;acted_for
170;Abraham Trust;Peter Wilson;151;acted_for
170;Abraham Trust;Philip Wilson;448;acted_for
170;Abraham Trust;Rainer Zietz;46;acted_for
170;Abraham Trust;Tom Wilson;315;acted_for
115;Christie's;alabaster duck vessels;289;returned
235;Rupert Wace;Egyptian;220;returned
10;Sweden;totem pole;418;returned
249;Boston Museum of Fine Arts;Weary Herakles;358;returned
261;Denver Art Museum;El Zotz Wooden Lintel;390;returned
378;J Paul Getty Museum;Morgantina Venus;273;returned
378;J Paul Getty Museum;Fifth-century BC Attic red-figured kylix, signed by Euphronios as potter and painted by Onesimos ;136;returned
193;Vaman Ghiya;red sandstone figure of a Jina;231;smuggled
444;Giacomo Medici;Fifth-century BC Attic red-figured kylix, signed by Euphronios as potter and painted by Onesimos ;136;smuggled
56;Harry Brown;Machaquilá Stela 5;353;smuggled
346;Leonardo Patterson;Precolumbian figurines;276;smuggled
346;Leonardo Patterson;sea turtle eggs;240;smuggled
190;Orazio di Simone;Morgantina Venus;273;smuggled
351;Roger Cornelius Russell Yorke;sacred textiles;204;smuggled
91;Steven Berger;sacred textiles;204;smuggled
156;Anton Roeckl;Dos Cabezas;453;smuggled_antiquities_from
154;David Swetnam;Peru;76;smuggled_antiquities_from
444;Giacomo Medici;Asia;306;smuggled_antiquities_from
444;Giacomo Medici;Egypt;174;smuggled_antiquities_from
444;Giacomo Medici;Greece;354;smuggled_antiquities_from
444;Giacomo Medici;Italy;381;smuggled_antiquities_from
444;Giacomo Medici;Syria;112;smuggled_antiquities_from
302;Japanese dealers;Vietnam;63;smuggled_antiquities_from
193;Vaman Ghiya;Geneva;269;smuggled_antiquities_through
346;Leonardo Patterson;Spain;236;smuggled_antiquities_through
126;Michael Kelly;Los Angeles International Airport;48;smuggled_antiquities_through
143;Miguel de Osma Berckemeyer;London;470;smuggled_antiquities_through
434;Occupants of the modern village of Ban Chiang;Udon;228;smuggled_antiquities_through
154;David Swetnam;Bolivia;19;smuggled_antiquities_through
154;David Swetnam;Canada;98;smuggled_antiquities_through
154;David Swetnam;Vancouver;62;smuggled_antiquities_through
64;Ed Dwyer;Clive Hollinshead;447;smuggled_antiquities_to
64;Ed Dwyer;New York;267;smuggled_antiquities_to
444;Giacomo Medici;Switzerland;299;smuggled_antiquities_to
56;Harry Brown;Clive Hollinshead;447;smuggled_antiquities_to
141;Johnnie Brown Fell;Clive Hollinshead;447;smuggled_antiquities_to
141;Johnnie Brown Fell;New York;267;smuggled_antiquities_to
346;Leonardo Patterson;Munich;368;smuggled_antiquities_to
91;Steven Berger;Roger Cornelius Russell Yorke;351;smuggled_antiquities_to
154;David Swetnam;United States;184;smuggled_antiquities_to
452;Edward Merrin;El Zotz Wooden Lintel;390;sold
42;Frieda Tchacos;Fifth-century BC Attic red-figured kylix, signed by Euphronios as potter and painted by Onesimos ;136;sold
346;Leonardo Patterson;El Manatí Style Busts;454;sold
346;Leonardo Patterson;fake monumental head;383;sold
346;Leonardo Patterson;figural carvings;3;sold
292;Michael Ward Gallery;gold jewelry;36;sold
175;Raúl Apesteguía;Moche pieces;65;sold
149;Robert Olson;archaeological artefacts;158;sold
334;Hydra Gallery;Fifth-century BC Attic red-figured kylix, signed by Euphronios as potter and painted by Onesimos ;136;sold
186;Gianfranco Becchina;red-figure krater by Asteas;157;sold
149;Robert Olson;Asia;306;sold_antiquities_from
149;Robert Olson;Thailand;384;sold_antiquities_from
139;Captain Trang;Hoi An;363;sold_antiquities_in
303;Barry Stern;Christie's;115;consigned_through
193;Vaman Ghiya;Christie's;115;consigned_through
193;Vaman Ghiya;London;470;sold_antiquities_in
193;Vaman Ghiya;New York;267;sold_antiquities_in
193;Vaman Ghiya;Sotheby's;129;consigned_through
406;Guy Loudmer;Hôtel des Ventes;120;consigned_through
401;Hervé Poulin;Hôtel des Ventes;120;consigned_through
475;Hoi An ceramics;eBay;255;consigned_through
473;John Eskenazi;Arts of Asia;295;consigned_through
119;Joseph Garnish;Bonhams;320;consigned_through
356;Marquis of Tavistock;Bonhams;320;consigned_through
356;Marquis of Tavistock;Sotheby's;129;consigned_through
11;Michael Ward;Michael Ward Gallery;292;consigned_through
23;Ong Soo Hin;Butterfields;160;consigned_through
21;Phoenix Ancient Art;Sotheby's;129;consigned_through
149;Robert Olson;eBay;255;consigned_through
129;Sotheby's;London;470;sold_antiquities_in
129;Sotheby's;New York;267;sold_antiquities_in
18;Metropolitan Museum of Art;Sotheby's;129;consigned_through
186;Gianfranco Becchina;Sotheby's;129;consigned_through
186;Gianfranco Becchina;Christie's;115;consigned_through
160;Butterfields;"a Denver museum";262;sold_antiquities_to
160;Butterfields;"a Los Angeles museum";300;sold_antiquities_to
160;Butterfields;"a Phoenix museum";338;sold_antiquities_to
160;Butterfields;"a Santa Barbara museum";142;sold_antiquities_to
160;Butterfields;"a Seattle museum";288;sold_antiquities_to
160;Butterfields;Art Gallery of New South Wales;304;sold_antiquities_to
160;Butterfields;British Museum;355;sold_antiquities_to
217;Dietrich von Bothmer;J Paul Getty Museum;378;sold_antiquities_to
349;Dikran Sarrafian;Leon Levy;207;sold_antiquities_to
64;Ed Dwyer;Clive Hollinshead;447;sold_antiquities_to
64;Ed Dwyer;Harry Brown;56;sold_antiquities_to
452;Edward Merrin;Barbara Fleischman;219;sold_antiquities_to
452;Edward Merrin;Berry & Stark Associates;455;sold_antiquities_to
67;Emil Bernal;Pereda;319;sold_antiquities_to
222;Fred Drew;Miguel de Osma Berckemeyer;143;sold_antiquities_to
248;Frederick Schultz;J Paul Getty Museum;378;sold_antiquities_to
397;Fritz Bürki;J Paul Getty Museum;378;sold_antiquities_to
0;Galerie Nefer;J Paul Getty Museum;378;sold_antiquities_to
444;Giacomo Medici;Barbara Fleischman;219;sold_antiquities_to
444;Giacomo Medici;George Ortiz;189;sold_antiquities_to
444;Giacomo Medici;Hunt brothers;287;sold_antiquities_to
444;Giacomo Medici;José Luis Várez Fisa;69;sold_antiquities_to
444;Giacomo Medici;Lawrence Fleischman;471;sold_antiquities_to
444;Giacomo Medici;Leon Levy;207;sold_antiquities_to
444;Giacomo Medici;Maurice Tempelsman;464;sold_antiquities_to
444;Giacomo Medici;Robert Hecht;131;sold_antiquities_to
444;Giacomo Medici;Shelby White;310;sold_antiquities_to
444;Giacomo Medici;Boston Museum of Fine Arts;249;sold_antiquities_to
444;Giacomo Medici;Cleveland Museum of Art;365;sold_antiquities_to
444;Giacomo Medici;J Paul Getty Museum;378;sold_antiquities_to
444;Giacomo Medici;Metropolitan Museum of Art;18;sold_antiquities_to
233;Halim Korban;Art Consultancy;41;sold_antiquities_to
56;Harry Brown;Clive Hollinshead;447;sold_antiquities_to
33;James Garriock;John Cummings;132;sold_antiquities_to
308;Jane Costello Goldberg;Metropolitan Museum of Art;18;sold_antiquities_to
308;Jane Costello Goldberg;Museum of Primitive Art;6;sold_antiquities_to
264;Jorge Alamilla;Ed Dwyer;64;sold_antiquities_to
264;Jorge Alamilla;Johnnie Brown Fell;141;sold_antiquities_to
298;Juan Luis Pereira;Metropolitan Museum of Art;18;sold_antiquities_to
298;Juan Luis Pereira;Museum of Primitive Art;6;sold_antiquities_to
84;Larisa Zavadskaya;Alexander Yerofeyev;25;sold_antiquities_to
423;Leon J Buki;Metropolitan Museum of Art;18;sold_antiquities_to
423;Leon J Buki;Museum of Primitive Art;6;sold_antiquities_to
207;Leon Levy;Shelby White;310;sold_antiquities_to
346;Leonardo Patterson;Wayne Anderson;369;sold_antiquities_to
436;Mansur Mokhtarzade;Art Consultancy;41;sold_antiquities_to
464;Maurice Tempelsman;J Paul Getty Museum;378;sold_antiquities_to
400;Nikolas Koutoulakis;Robert Hecht;131;sold_antiquities_to
23;Ong Soo Hin;Butterfields;160;sold_antiquities_to
86;Pablo Soldi;Paul Truel;450;sold_antiquities_to
86;Pablo Soldi;American Museum of Natural History;322;sold_antiquities_to
319;Pereda;Fred Drew;222;sold_antiquities_to
319;Pereda;Enrico Poli;357;sold_antiquities_to
474;PIASA;Rupert Wace;235;sold_antiquities_to
376;Renzo Canavesi;Robin Symes;245;sold_antiquities_to
131;Robert Hecht;Dietrich von Bothmer;217;sold_antiquities_to
131;Robert Hecht;Boston Museum of Fine Arts;249;sold_antiquities_to
131;Robert Hecht;J Paul Getty Museum;378;sold_antiquities_to
149;Robert Olson;Barry MacLean;263;sold_antiquities_to
149;Robert Olson;Jonathan and Cari Markell;71;sold_antiquities_to
149;Robert Olson;MacLean;332;sold_antiquities_to
245;Robin Symes;J Paul Getty Museum;378;sold_antiquities_to
37;Sands of Time;Wallis Gallery;459;sold_antiquities_to
172;Sezai Portakalci;Joel Malter;239;sold_antiquities_to
92;Royal Athena Galleries;J Paul Getty Museum;378;sold_antiquities_to
79;Stendahl Galleries;Minneapolis Institute of Arts;442;sold_antiquities_to
186;Gianfranco Becchina;Ashmolean Museum;361;sold_antiquities_to
186;Gianfranco Becchina;Princeton University Art Museum;95;sold_antiquities_to
186;Gianfranco Becchina;Toledo Museum of Art;103;sold_antiquities_to
186;Gianfranco Becchina;J Paul Getty Museum;378;sold_antiquities_to
186;Gianfranco Becchina;George Ortiz;189;sold_antiquities_to
186;Gianfranco Becchina;Leon Levy;207;sold_antiquities_to
186;Gianfranco Becchina;Shelby White;310;sold_antiquities_to
186;Gianfranco Becchina;Merrin Gallery;333;sold_antiquities_to
186;Gianfranco Becchina;Noriyoshi Horiuchi;93;sold_antiquities_to
186;Gianfranco Becchina;Dietrich von Bothmer;217;sold_antiquities_to
186;Gianfranco Becchina;Metropolitan Museum of Art;18;sold_antiquities_to
93;Noriyoshi Horiuchi;Miho Museum;344;sold_antiquities_to
118;Edward Johnson;Cairo;427;stationed_in
425;Luigi Coppola;Melfi vases;7;stole
17;Niels Heidenreich;Golden Horns;393;stole
346;Leonardo Patterson;El Manatí;78;stole
193;Vaman Ghiya;Delhi;29;stored_antiquities_in
193;Vaman Ghiya;Jaipur;419;stored_antiquities_in
193;Vaman Ghiya;Mathura;1;stored_antiquities_in
444;Giacomo Medici;Geneva storerooms;171;stored_antiquities_in
388;Nikolay Zavadsky;Finlyandskiy;371;stored_antiquities_in
154;David Swetnam;United Kingdom;179;stored_antiquities_in
360;Marquess of Northampton;Peter Mimpriss;253;sued
289;alabaster duck vessels;Saqqara;107;taken_from
122;Egyptian artefacts;Hillwood Museum;426;taken_from
87;Las Limas Monument 1;Xalapa;247;taken_from
47;Second century AD copy of a head of Diadoumenos by Polykleitos;excavation storeroom at Venosa;379;taken_from
372;Señor de Las Limas;Museum of Anthropology;147;taken_from
202;Euphronios ( Sarpedon ) krater;Cerveteri;461;taken_from
278;western-most ( farthest right ) maithuna;Atru;301;taken_from
73;Vicús;Metropolitan Museum of Art;18;transfered_to
154;David Swetnam;United States Customs;200;wanted_by
25;Alexander Yerofeyev;St Petersburg;20;was_in
441;Chester Gorman;Ban Chiang;321;was_in
357;Enrico Poli;Trujillo;285;was_in
84;Larisa Zavadskaya;Finland;133;was_in
311;Maya pottery;Museum of Fine Arts;424;was_in
23;Ong Soo Hin;Perth;373;was_in
21;Phoenix Ancient Art;New York;267;was_in
149;Robert Olson;Thailand;384;was_in
351;Roger Cornelius Russell Yorke;South America;367;was_in
286;Sylvanus Morley;Cancuén;181;was_in
286;Sylvanus Morley;Xultún;38;was_in
193;Vaman Ghiya;Delhi;29;was_in
193;Vaman Ghiya;Jaipur;419;was_in
193;Vaman Ghiya;Mathura;1;was_in
2;Vladimir Mefty;London;470;was_in
273;Morgantina Venus;Switzerland;299;shipped_to
390;El Zotz Wooden Lintel;United States;184;shipped_to
